+1 to +30,CAI,Instability,length,meanElongation,microarray,normalizedInitRate,tAI,translationRate,Half-life,Start,Stop,Type,uAUG,Protein,pro/micro,predicted_pro/micro,predicted_Protein,,,,,
-2.4,0.802,37.73862,334,0.128869933,5.864757252,0.008453112,0.2084,0.004594702,1,1,0,0,0,23.7,4.041087974,9.037921144,65.32022017,883,961,,,
-3.3,0.765,46.50789,152,0.124717903,9.6073372,0.011542371,0.2005,0.00516132,1,0,0,0,0,8.95,0.931579668,-4.718380065,-34.07335654,1151,1585,,,
-0.5,0.792,37.70256,313,0.131446801,9.034446459,0.008363063,0.2273,0.004788188,0,0,2,0,0,56.7,6.275979415,17.57704163,127.015156,800,476,,,
-4.3,0.768,36.47934,121,0.125378871,10.28869635,0.085372856,0.1996,0.007081774,0,0,0,0,2,2.55,0.247844811,-2.464699023,-17.90691628,1358,1525,,,
-3,0.808,53.04565,276,0.126392337,9.82552643,0.013523443,0.2106,0.005821258,0,0,2,0,0,2.85,0.290060794,0.832041973,6.025093195,1337,1413,,,
-1.3,0.805,38.20095,420,0.130844958,10.78139748,0.415642166,0.2192,0.007298284,0,0,0,0,0,87.9,8.152931952,15.93224824,114.4899644,749,571,,,
-2.8,0.829,24.48433,383,0.134860188,10.20929306,0.811938591,0.2447,0.007588682,1,0,0,0,0,887,86.88162783,29.5780353,212.4558891,155,130,,,
-0.4,0.824,36.01738,305,0.131835901,10.25651804,0.243964985,0.2309,0.007189941,0,0,0,0,0,29.5,2.876219774,19.06866571,137.4209115,945,415,,,
-3.7,0.836,42.78579,183,0.126958459,3.174768742,0.030399456,0.1972,0.00698428,1,0,2,0,0,24.2,7.622602453,2.722536544,19.65725218,769,1320,,,
-2,0.817,24.85252,457,0.128244085,8.482396265,0.121288828,0.2263,0.007117262,0,0,0,0,0,86.3,10.17401184,7.060845101,50.85816587,691,1077,,,
-3.3,0.769,73.43701,254,0.129136353,2.483186493,0.05956262,0.2126,0.007003369,0,0,1,0,0,9.89,3.982785839,9.964650694,71.93528515,889,909,,,
-4.1,0.822,38.15355,887,0.136140103,12.11012163,0.049750882,0.2437,0.007487788,0,0,0,0,0,1219,100.6596001,33.16518109,239.5736195,130,83,,,
-4.5,0.83,18.83966,474,0.137143275,12.19275846,0.016895177,0.2503,0.006371971,0,0,0,0,1,1087,89.15127808,36.46128014,263.4395603,152,49,,,
-5.1,0.836,32.79769,865,0.134699246,10.13475895,0.064766255,0.233,0.007367677,1,1,0,0,0,1383,136.461065,28.40337291,205.1460962,73,159,,,
0,0.792,36.95417,120,0.128532244,9.785810003,0.008602288,0.2371,0.004721977,0,0,0,0,0,42.6,4.353242091,7.919018971,57.23596303,871,1031,,,
0,0.817,48.13409,264,0.129433032,10.47575231,2.109275307,0.2325,0.007263291,1,2,0,0,0,50,4.7729269,12.70715092,88.52062082,849,756,,,
-3.2,0.811,37.77639,288,0.129877235,10.38947362,0.529019192,0.2281,0.007249747,0,0,0,0,0,76.1,7.324721423,12.82273509,91.8452458,774,749,,,
-2,0.779,31.53739,115,0.125010873,5.294173922,0.078024915,0.2265,0.007140841,1,0,0,0,0,16.6,3.135522226,-3.690473979,-26.75151393,929,1559,,,
0,0.816,31.5531,516,0.128415333,9.344817073,0.219648425,0.2174,0.00701059,0,0,0,0,0,71.9,7.694104597,7.712751749,55.41320894,766,1041,,,
0,0.828,38.47965,796,0.129471844,4.456871541,0.079919886,0.2151,0.006563243,0,0,0,0,0,50.3,11.28594341,11.09387084,80.06178339,670,844,,,
-1.9,0.844,28.2382,178,0.134877026,8.876443658,0.036856232,0.2395,0.007525129,1,0,0,0,0,193,21.74294204,28.96854185,209.273388,487,142,,,
0,0.781,32.93773,220,0.130279001,10.36777436,0.131108433,0.2244,0.007272217,1,0,0,0,0,394,38.00237026,13.81255675,99.62353481,330,688,,,
-3.4,0.828,23.27778,126,0.130700814,9.172592288,0.033182685,0.2357,0.007223782,0,0,2,0,0,95.5,10.41145153,15.12630174,109.2695604,684,625,,,
0,0.831,40.62841,264,0.129451301,10.66817473,0.560133255,0.2326,0.007237194,1,0,0,0,0,676,63.36604125,11.43798625,81.79147537,213,823,,,
-1.1,0.822,31.42317,246,0.128150299,3.06168179,0.04714249,0.2163,0.007020495,1,0,0,0,2,0.046,0.015024422,6.686414628,48.2697312,1589,1100,,,
-1.8,0.816,44.66623,151,0.133195553,10.48025317,0.015478078,0.2408,0.006177785,0,0,0,0,0,365,34.82740293,23.37814458,168.916677,355,275,,,
-1.6,0.794,42.07735,234,0.127333657,9.334197246,0.140390063,0.2127,0.006873844,0,0,1,0,0,1.56,0.167127387,4.060273997,29.14907111,1404,1244,,,
-9.3,0.819,42.12796,844,0.131385092,3.556873038,0.005024996,0.2217,0.003574424,0,0,0,0,0,14.2,3.992270696,17.36968578,125.5222773,887,484,,,
-5.6,0.836,30.03976,747,0.133106306,3.7191626,0.060028816,0.2273,0.007320332,0,0,0,0,0,43.1,11.58863019,23.1206389,166.9860238,665,284,,,
-0.5,0.847,38.52676,426,0.130996871,6.068969582,0.05956262,0.2324,0.007250284,0,0,2,0,0,202,33.28406862,16.13001546,116.4797918,365,558,,,
-4.4,0.824,22.10129,232,0.132293232,5.372545613,0.043572434,0.2294,0.007464526,1,0,0,0,0,125,23.26643811,20.4121576,147.4432834,465,367,,,
0,0.807,48.12356,505,0.127345475,2.662012189,0.612883403,0.2113,0.006801226,0,0,0,0,0,2.81,1.055592462,4.50500047,31.61783598,1122,1223,,,
-3.8,0.847,32.56857,474,0.134395949,4.779538908,0.055758213,0.2364,0.007304124,1,0,0,0,0,397,83.06240573,27.39057849,197.8428895,163,179,,,
-1.6,0.796,40.01195,385,0.12749453,3.086754534,0.646794225,0.2082,0.006940474,0,0,1,0,0,1.39,0.450311155,5.028044659,35.34338564,1274,1186,,,
0,0.851,34.31861,274,0.133884922,10.82355009,0.192370791,0.2459,0.007509637,0,0,0,0,0,668,61.71727339,25.8144039,186.2398737,220,217,,,
0,0.788,48.48124,890,0.125728068,7.338101034,0.092589404,0.2086,0.006819494,0,0,2,0,0,18,2.452950691,-1.301339401,-9.513059847,970,1482,,,
-0.9,0.857,29.64398,241,0.13346751,10.70957064,0.153243506,0.2411,0.007460634,0,0,0,0,0,160,14.93990799,24.39760359,176.0651909,595,248,,,
-4,0.865,41.54108,185,0.137936327,9.954447935,0.092831378,0.2555,0.007587718,0,1,2,0,0,876,88.0008621,39.15446718,282.7780959,153,27,,,
-3.1,0.785,46.1581,253,0.126834073,8.713099388,8.37E-05,0.2146,8.49E-05,0,1,2,0,0,19.1,2.192101702,2.284326045,16.53895879,990,1346,,,
-6.4,0.782,31.14689,450,0.127360426,9.11384857,0.05707834,0.2051,0.00691879,1,0,2,0,0,4.81,0.52776826,4.077470304,29.40456293,1251,1241,,,
-5.9,0.815,26.64765,810,0.132529515,9.559579176,0.005772035,0.2296,0.003748419,0,0,0,0,0,136,14.22656767,21.16270377,152.9254992,607,344,,,
-3,0.865,30.23168,161,0.134654256,12.91230808,1.259396855,0.2572,0.007791694,1,1,0,0,0,669,51.81103145,29.27969531,209.5954696,256,134,,,
-1.4,0.863,41.50439,319,0.135394605,6.946165686,0.201225206,0.2397,0.007554006,0,0,0,0,0,651,93.72077048,30.82477555,222.4256533,142,114,,,
-3.9,0.853,39.20497,181,0.126685665,7.14769528,0.330109597,0.2011,0.007073138,0,0,2,0,0,4.6,0.643564089,2.075810539,14.51252034,1217,1354,,,
-1.1,0.828,41.69388,572,0.13392669,10.13894189,0.020718452,0.2366,0.006509397,1,0,2,0,0,453,44.67921849,25.80547667,186.4457957,294,218,,,
-1,0.814,42.69592,343,0.130576773,7.657115062,0.074591622,0.2143,0.007329932,0,0,2,0,0,78.6,10.26496263,14.7507993,106.4913351,687,641,,,
-4.1,0.837,21.6466,191,0.131100829,10.06050632,0.068606324,0.2299,0.007344693,0,1,2,0,0,21.3,2.117189664,16.48227303,119.0105908,996,533,,,
-4.5,0.828,34.53071,267,0.133051164,3.313791924,0.220175446,0.2262,0.00738256,0,0,0,0,0,62.3,18.80021481,23.0753716,166.4066746,524,286,,,
-2.8,0.796,45.47406,266,0.124410452,2.471934227,0.014074782,0.2054,0.005774888,1,1,0,0,0,10.2,4.126323382,-5.735034228,-41.42263058,878,1605,,,
-1.6,0.786,27.59506,243,0.127978624,7.223353669,0.005618275,0.2207,0.00360331,0,0,0,0,1,0.669,0.09261626,6.081877576,43.9673931,1482,1134,,,
-2.6,0.829,17.11548,155,0.127991529,6.785509612,0.045007301,0.2438,0.007237976,1,0,0,0,0,3.78,0.557069434,6.158451553,44.45858349,1238,1126,,,
-2.1,0.818,41.12088,814,0.12981702,3.100785204,0.108529791,0.2161,0.006917934,0,0,0,0,0,50.7,16.35069722,12.26226868,88.45833764,565,784,,,
-7.5,0.806,24.85,86,0.129014072,7.413341817,0.027933445,0.2149,0.007095389,0,0,0,0,0,25.8,3.480211845,9.532288351,68.86131359,910,930,,,
-2.2,0.808,40.92336,351,0.127320959,2.490388143,0.230309651,0.2227,0.007015447,1,0,2,0,0,0.13,0.052200698,4.095377874,29.26103593,1521,1240,,,
-3.8,0.757,53.75361,97,0.127317213,3.349230796,0.03659182,0.2235,0.007116491,0,0,0,0,0,1.25,0.373220025,3.916686943,28.27518421,1305,1254,,,
-0.2,0.857,34.27443,485,0.133901987,9.268923675,0.011198555,0.2317,0.005408834,0,1,0,0,0,467,50.38341197,25.71544474,185.8103164,265,221,,,
-2.6,0.849,30.41447,152,0.133636444,9.783795945,0.019383549,0.2341,0.006605659,0,0,0,0,0,82.3,8.411867997,24.84251675,179.4905529,742,237,,,
-4.1,0.816,38.01594,414,0.128041049,3.019373995,0.418645588,0.2183,0.006986499,0,0,0,0,0,28.2,9.339684334,6.643262393,47.37269242,717,1102,,,
-3,0.847,31.03134,351,0.132610157,2.670639713,0.088515237,0.2375,0.007377226,1,0,0,0,1,17.9,6.702513976,21.5009569,155.2390106,791,331,,,
-1.1,0.746,23.9329,155,0.12812457,2.49778723,0.160296977,0.2109,0.007173573,0,0,2,0,0,0.041,0.016414529,6.698280164,48.17719573,1585,1099,,,
-7.1,0.764,56.5326,273,0.127174777,2.03520809,0.016935715,0.2095,0.006420311,0,0,2,0,0,0.208,0.102200852,3.427812246,24.77405086,1472,1280,,,
0,0.786,23.13144,334,0.131606132,8.187510119,0.06230416,0.2197,0.007323252,0,0,2,0,0,10.5,1.282441163,18.15133128,131.0793964,1090,452,,,
-1,0.745,34.51937,222,0.125780836,1.965021435,0.050502594,0.211,0.006663501,1,0,1,0,0,1.09,0.554701328,-1.162602528,-8.44438813,1240,1479,,,
-1.4,0.831,1.730769,195,0.128901214,2.157272162,0.202314762,0.2278,0.007204833,1,0,0,0,2,0.338,0.15667935,9.307980711,66.96597996,1411,942,,,
-3.6,0.797,26.74541,196,0.124935485,3.210586885,0.00303674,0.2242,0.002342828,0,1,0,0,0,0.673,0.209618996,-4.004659945,-28.9033583,1378,1565,,,
-1.1,0.775,18.51379,87,0.130562337,3.223306372,0.124216339,0.2097,0.007441868,1,0,2,0,1,188,58.32520347,14.74555676,106.3752792,233,642,,,
-1.7,0.817,30.12812,441,0.127058959,2.858592855,0.037978803,0.2118,0.006935951,0,0,0,0,0,8.65,3.025964325,3.062078099,22.09848545,938,1299,,,
-1.7,0.793,30.43722,677,0.12699609,3.187320957,0.162718988,0.2092,0.007041282,0,0,2,0,0,0.47,0.147459263,2.960814068,21.17034142,1423,1304,,,
-2.7,0.797,37.84392,362,0.129890765,3.198076704,0.054862207,0.211,0.007068177,0,0,2,0,0,1.02,0.318941694,12.46057856,89.97566629,1327,769,,,
-4.8,0.804,53.03972,287,0.125630063,2.764341567,5.95E-09,0.205,5.78E-09,1,1,0,0,0,0.058,0.020981488,-1.705581331,-12.28782589,1573,1502,,,
0,0.845,17.38462,91,0.134225188,7.566980509,0.085577698,0.2412,0.007753279,1,0,0,0,0,1112,146.9542572,26.85030803,193.8924801,67,189,,,
-1.1,0.817,44.03712,528,0.12657703,2.894644318,0.06532826,0.2102,0.006892151,0,0,2,0,0,3.11,1.074397977,1.488542277,10.6866676,1118,1384,,,
-1.8,0.834,32.47128,296,0.130299728,2.212554486,0.31205352,0.2263,0.007219193,0,0,0,0,2,86.2,38.95949254,14.03655567,100.956857,327,676,,,
-1.8,0.807,25.22267,419,0.127164412,7.410495816,0.299102018,0.2068,0.00695907,0,1,0,0,0,3.47,0.468254768,3.635661938,25.83123179,1267,1269,,,
0,0.776,50.70134,299,0.123951345,3.446818012,0.361197432,0.1914,0.006662031,1,0,1,0,0,0.113,0.03278386,-6.9584658,-50.80873002,1548,1623,,,
-0.6,0.802,49.83014,219,0.127342459,2.303229721,0.80495366,0.2121,0.007094265,1,1,0,0,0,0.228,0.098991428,4.659869364,32.43417005,1475,1210,,,
-4.8,0.812,43.26787,1024,0.127176272,2.337062001,0.025330981,0.2102,0.006781242,0,0,0,0,0,18.5,7.915921782,3.439972428,24.84868178,760,1279,,,
-4.5,0.818,37.37111,360,0.127159333,3.032454833,0.427685537,0.2081,0.007043317,1,1,2,0,0,5.67,1.869772284,3.729200716,26.30447525,1022,1263,,,
-2.1,0.821,35.36101,554,0.129016812,3.338327699,0.231556687,0.2194,0.007181829,0,0,2,0,0,0.016,0.004792819,9.716147907,69.86890344,1625,921,,,
-0.8,0.81,57.72671,277,0.125418062,3.151765738,0.001743727,0.2131,0.001544529,0,0,2,0,0,21.6,6.853301227,-2.40661127,-17.35548539,786,1522,,,
-0.1,0.823,32.4775,320,0.130191749,3.199894581,0.656566978,0.2148,0.007218964,0,0,0,0,0,0.406,0.12687918,13.97444874,99.96539079,1440,679,,,
-1.1,0.822,35.4213,324,0.132591048,7.723511181,0.038069929,0.234,0.00716135,0,0,0,0,0,110,14.24222707,21.39433403,154.5481363,605,334,,,
-2,0.824,38.48701,385,0.128120324,3.369331246,0.024821239,0.2141,0.006880692,1,2,2,0,0,1.07,0.317570438,6.567924372,47.44880885,1328,1104,,,
-4.8,0.796,32.5234,406,0.126870144,2.37150582,0.049312358,0.2089,0.007013661,1,0,0,0,0,0.829,0.349566926,2.446113103,17.63030884,1315,1335,,,
-2,0.734,19.11628,86,0.127503823,9.192313302,0.068705188,0.2205,0.007332317,1,0,0,0,0,396,43.07947162,4.562637649,32.8915601,307,1217,,,
-3.6,0.834,31.78047,471,0.129005877,3.057616581,0.023131254,0.221,0.006520985,1,1,0,0,0,3.96,1.295126415,9.501009892,68.64289338,1086,933,,,
-0.1,0.81,51.76415,106,0.125598259,6.869994039,0.056941715,0.2156,0.007059131,1,0,2,0,2,49.6,7.21980248,-1.762097238,-12.78585691,777,1505,,,
0,0.802,36.18814,371,0.124694487,2.858195506,0.192370791,0.2114,0.006743809,1,0,2,0,0,0.001,0.000349871,-4.640761892,-33.79744537,1660,1583,,,
-2.2,0.819,31.19219,269,0.128913443,6.737164666,0.081812064,0.2454,0.007138044,0,0,2,0,0,218,32.3578257,9.24507169,66.70130472,371,945,,,
-1.4,0.804,44.04885,174,0.125235551,9.665522958,0.052448132,0.2137,0.006780321,0,0,2,0,0,55.8,5.773096835,-2.967892214,-21.49059678,815,1542,,,
-4.1,0.815,54.84,225,0.128424371,3.223132759,0.033442405,0.2088,0.007124119,0,0,0,0,2,91.7,28.45058111,7.582872056,54.76818231,409,1053,,,
-3.5,0.842,32.87872,94,0.127962209,10.1829956,0.06817161,0.2119,0.007489178,1,0,0,0,0,355,34.86204001,6.081174307,43.86376553,354,1135,,,
-3.2,0.794,26.78706,394,0.124058582,2.446283268,0.009845635,0.2085,0.004949835,1,0,1,0,2,0.094,0.03842564,-6.904687377,-49.86666383,1542,1620,,,
-1.9,0.818,49.114,400,0.127261267,3.52071024,0.027472203,0.2125,0.006864554,1,0,2,0,0,0.036,0.01022521,3.72346587,26.89353696,1601,1265,,,
-7.4,0.788,41.20873,229,0.127009249,2.560733081,0.021208981,0.2241,0.006568217,0,0,0,0,0,7.79,3.042097616,2.882955272,20.83074956,936,1309,,,
0,0.839,26.15809,439,0.128528643,4.148929511,0.094824206,0.2051,0.007109539,0,0,0,0,2,1.37,0.330205658,7.981094498,57.54862223,1322,1026,,,
-12,0.806,51.24752,604,0.126366526,2.738526338,0.007880763,0.2066,0.004535433,1,0,0,0,1,0.947,0.345806424,0.741666368,5.381022641,1316,1415,,,
-0.3,0.82,34.26404,356,0.130691799,6.356726438,0.289983699,0.2249,0.007234196,1,0,0,0,0,3.29,0.517561992,15.31685278,110.2417197,1253,606,,,
-1.4,0.802,43.14587,375,0.131118872,9.507712131,0.115951814,0.2381,0.007279844,1,0,0,0,0,20.4,2.145626594,16.58270268,119.6616028,993,528,,,
-1.6,0.842,37.30636,110,0.134372602,9.805749393,0.111835406,0.2459,0.007821978,0,0,0,0,0,749,76.38375916,27.36134524,197.5433366,182,181,,,
-4.8,0.794,25.62789,294,0.134504062,9.861798957,0.018530624,0.2375,0.006597608,1,0,2,0,0,100,10.14013776,27.71688794,200.2591102,693,173,,,
-1.9,0.82,63.30201,149,0.132915908,9.44339265,0.015304926,0.2431,0.006166896,0,0,0,0,0,71.5,7.571431439,22.45131133,162.2206177,772,299,,,
-2.1,0.871,29.55641,156,0.135929219,10.88468267,0.00117519,0.2367,0.001065852,0,0,2,0,0,1116,102.5294015,32.42466104,234.2999188,126,92,,,
-1.3,0.821,46.14336,482,0.132457203,7.046498172,0.015284278,0.2346,0.006269921,1,0,0,0,0,22.6,3.207266851,20.93124185,151.2382109,924,352,,,
0,0.807,32.16982,454,0.127149032,3.886471543,0.591125413,0.2216,0.006979944,0,0,0,0,0,0.1,0.02573028,3.8353538,26.81394388,1561,1258,,,
-0.1,0.794,29.6219,315,0.130134956,11.38446365,0.202314762,0.2308,0.007112755,1,0,0,0,0,142,12.47313922,13.39634183,96.50422076,646,716,,,
0,0.854,35.73281,192,0.131004735,8.571963477,0.03032669,0.2384,0.007021404,1,0,0,0,0,252,29.39816539,16.13098047,116.5328222,402,557,,,
0,0.787,34.72476,105,0.128201429,6.831394555,0.230309651,0.2076,0.007340284,0,0,0,0,0,218,31.91149307,7.013069999,50.34124142,376,1082,,,
-3.3,0.838,37.20648,432,0.137652539,11.68395336,0.242214746,0.2744,0.00781667,0,0,0,0,0,1297,111.0069477,38.34227656,276.6747138,115,33,,,
-1,0.829,42.04203,207,0.130481185,10.47263111,0.927069188,0.2375,0.007405154,0,0,2,0,0,433,41.34586576,15.16576393,108.1464451,317,622,,,
-0.2,0.848,33.41769,424,0.134890276,9.904724778,0.386072321,0.2322,0.007547974,0,0,0,0,0,223,22.51450747,29.31219878,211.2061405,473,132,,,
-4.5,0.828,40.74962,784,0.134923717,9.749416353,0.01771523,0.239,0.00646691,0,0,1,0,0,230,23.59115579,29.10683633,210.3027146,460,138,,,
-1.1,0.844,16.39556,90,0.135778149,11.28854746,0.002739538,0.2503,0.002223128,0,1,0,0,0,3812,337.6873786,31.92538964,230.690239,14,97,,,
-4.9,0.835,28.05666,623,0.133998324,10.0688542,0.008243498,0.2419,0.004647984,0,0,0,0,0,203,20.1611818,26.03214879,188.1031455,507,210,,,
-1.6,0.798,41.03636,132,0.126471429,3.149000481,0.379868337,0.2214,0.007213124,0,0,0,0,0,101,32.07366928,1.408587916,9.613474483,374,1387,,,
-0.3,0.81,41.74474,152,0.126711135,3.436407251,0.018323323,0.2162,0.006378865,1,0,0,0,0,3.23,0.93993516,1.892591367,13.67995718,1148,1366,,,
-1.8,0.797,0.4080357,112,0.132188517,2.681118261,0.210487172,0.2337,0.007508799,1,0,0,0,0,55.4,20.66301991,20.20842522,145.708368,500,375,,,
-5.9,0.822,48.3951,286,0.128886854,2.265490497,0.516475679,0.2083,0.007176579,0,0,0,0,0,71,31.33979158,9.530054355,68.07552406,379,931,,,
0,0.821,39.71346,156,0.127953688,6.868749238,0.112103742,0.2286,0.007225156,0,0,0,0,0,36.6,5.328481028,6.090646602,43.86299184,834,1131,,,
-3.9,0.768,46.58065,124,0.128628472,8.419777747,0.081812064,0.2163,0.007277431,0,0,1,0,0,0.063,0.007482383,8.30073782,59.87853138,1615,1006,,,
-8.7,0.817,29.31134,397,0.130313793,11.0061227,0.045824767,0.227,0.006881337,0,0,0,0,0,181,16.4453918,13.85464698,100.0619908,563,687,,,
-0.4,0.774,60.17767,215,0.12760888,2.781434154,0.057387397,0.2253,0.006985726,0,0,0,0,0,0.936,0.336517044,4.901059806,35.35447629,1320,1194,,,
0,0.811,39.48554,1120,0.129334997,4.923732071,0.000342606,0.2157,0.000335705,0,0,0,0,0,3.97,0.80629895,10.57208364,76.41725833,1174,876,,,
-4.6,0.819,24.73169,183,0.13210019,9.416580002,0.01893524,0.238,0.006466348,0,0,0,0,0,212,22.51348154,19.75130977,142.7074984,474,393,,,
-2.7,0.822,44.18927,643,0.12955614,5.370536017,0.008622928,0.2124,0.004579181,0,0,2,0,0,10.6,1.973732225,11.31201237,81.7501681,1009,831,,,
-2.3,0.839,60.00092,109,0.136825149,9.018327184,0.030399456,0.2859,0.007606972,1,0,2,0,0,1417,157.1244834,35.41866897,255.8854629,62,59,,,
-2.7,0.819,35.33077,624,0.13595557,2.545308226,0.079919886,0.2402,0.007587513,1,0,2,0,0,335,131.6147084,32.57957312,235.2950979,80,90,,,
-5.6,0.845,19.56542,214,0.137036307,11.87812559,0.032201876,0.2591,0.007488066,1,0,0,0,0,882,74.25413996,36.11994921,260.9493442,190,53,,,
-2.3,0.829,50.06219,320,0.127652511,2.667953862,0.047561718,0.2176,0.006913116,1,0,0,0,0,2.67,1.000766932,5.03720989,36.35363441,1134,1185,,,
-1.2,0.783,52.06144,319,0.124586448,2.114004372,0.140390063,0.2028,0.006759102,1,0,1,0,0,1.37,0.648059208,-5.04339798,-36.62458413,1216,1593,,,
-0.5,0.82,29.80054,558,0.128035956,5.87629783,0.208132461,0.2072,0.00694651,0,0,0,0,0,6.1,1.038068555,6.445691565,46.27689352,1125,1113,,,
0,0.807,31.8177,113,0.128880606,5.708710242,0.114757902,0.2285,0.00707801,1,0,0,0,0,5.59,0.979205418,9.164535811,66.06753346,1136,954,,,
-0.9,0.832,35.54556,834,0.129723026,5.082793141,0.251395702,0.2174,0.00708414,0,0,0,0,0,63.3,12.45378245,12.07342115,86.86885119,647,790,,,
-1,0.807,34.72419,310,0.127800276,6.821567631,0.294719693,0.2201,0.006997854,1,0,2,0,0,32.1,4.705663234,5.739019737,41.03480921,858,1150,,,
-0.1,0.828,37.72557,305,0.131061371,7.685396388,5.693182646,0.2448,0.007289318,1,0,2,0,0,33.2,4.319881282,21.17936609,144.0859422,872,341,,,
-4,0.787,38.63556,225,0.126588282,4.378039027,0.078024915,0.2089,0.006873676,0,0,0,0,0,6.29,1.436716293,1.536727194,11.01479935,1071,1381,,,
0,0.837,51.67711,284,0.130377181,8.424909141,0.065681987,0.2033,0.00735121,0,0,2,0,0,287,34.06564928,14.08174588,101.6714879,359,672,,,
-0.6,0.808,55.55385,208,0.12586449,6.774762457,0.020385517,0.2039,0.006544766,0,0,0,0,0,36.9,5.446685435,-0.911241751,-6.580870443,832,1471,,,
-3.5,0.79,47.01753,308,0.123684427,2.695465067,0.100085489,0.2077,0.006814508,1,0,0,0,0,0.018,0.006677883,-8.067100964,-58.40721792,1618,1635,,,
-2.8,0.811,34.5075,160,0.128333086,2.525658578,0.300975299,0.2143,0.007330904,1,0,2,0,0,0.141,0.055827023,7.510009342,53.82028112,1516,1058,,,
-7.6,0.842,37.49241,593,0.131816736,2.426140445,0.039822207,0.2322,0.007245711,0,0,0,0,0,0.419,0.172702286,18.82993122,136.017671,1400,426,,,
-1.6,0.858,40.91104,453,0.135142938,2.842821787,1.99226647,0.2402,0.007629895,0,0,0,0,0,0.204,0.071759686,31.52814231,224.6858444,1501,103,,,
-1.9,0.801,30.43266,349,0.126321353,2.716887215,0.132711117,0.225,0.006964912,1,0,0,0,0,0.232,0.085391841,0.69912055,4.876973233,1486,1417,,,
-1.9,0.849,24.01953,169,0.131774609,8.482617167,0.004144676,0.223,0.003033252,0,0,2,0,0,260,30.65091762,18.65970745,134.8440176,391,435,,,
